"","state","year","month","tavg","tmax","tmin","pcp"
"20066","MT",1974,4,60,73.8,46.3,2.5
"20067","MT",1974,5,52.2,67.5,36.9,0.8
"20068","MT",1974,6,45.8,61,30.5,1
"20069","MT",1974,7,32.1,42,22.3,0.9
"20070","MT",1974,8,25.6,34.9,16.2,0.9
"20071","MT",1974,9,16.1,25.5,6.8,1.9
"20072","MT",1975,1,47.4,58.4,36.4,3.2
"20073","MT",1975,10,15,25.7,4.3,1.2
"20074","MT",1975,11,25.4,34.9,16,1.5
"20075","MT",1975,12,32.5,41.7,23.3,2.7
"20076","MT",1975,2,55.8,67.7,43.8,3.6
"20077","MT",1975,3,68.2,82.1,54.2,2.2
"20078","MT",1975,4,60.8,74.4,47.1,1.9
"20079","MT",1975,5,53.2,68.7,37.6,0.6
"20080","MT",1975,6,42.2,52.9,31.4,2.9
"20081","MT",1975,7,28,38.2,17.9,1.5
"20082","MT",1975,8,24.1,33.3,14.9,1.5
"20083","MT",1975,9,19.4,28.8,10,2
"20084","MT",1976,1,52.7,67.4,38,1.4
"20085","MT",1976,10,28.2,38.1,18.3,1.1
"20086","MT",1976,11,27.8,39.5,16.1,0.8
"20087","MT",1976,12,42.4,54.5,30.3,2
"20088","MT",1976,2,56.5,68.6,44.5,3.8
"20089","MT",1976,3,66.4,81.4,51.4,1.4
"20090","MT",1976,4,64.1,78.3,49.9,1.8
"20091","MT",1976,5,56.7,72.6,40.8,1.1
"20092","MT",1976,6,41.6,54.8,28.4,0.6
"20093","MT",1976,7,29.7,41.5,17.8,0.7
"20094","MT",1976,8,24.9,34.6,15.2,0.5
"20095","MT",1976,9,21.2,30.6,11.7,1
"20096","MT",1977,1,51.7,64.2,39.1,2.6
"20097","MT",1977,10,30.8,41.2,20.4,0.4
"20098","MT",1977,11,31.4,42.4,20.3,1.5
"20099","MT",1977,12,45,60.5,29.5,0.4
"20100","MT",1977,2,62.1,76,48.2,1.6
"20101","MT",1977,3,65,79.7,50.3,1.5
"20102","MT",1977,4,60.4,74.1,46.6,1.8
"20103","MT",1977,5,53.1,65.5,40.8,2.4
"20104","MT",1977,6,43.9,56.3,31.5,1
"20105","MT",1977,7,26.6,36.4,16.8,1.4
"20106","MT",1977,8,16.5,24.7,8.3,2.7
"20107","MT",1977,9,12.6,22.8,2.5,1.1
"20108","MT",1978,1,49.2,59.5,38.8,4.7
"20109","MT",1978,10,16.3,25.4,7.2,1.2
"20110","MT",1978,11,30.8,41.6,20,0.6
"20111","MT",1978,12,41.6,51.5,31.6,1.7
"20112","MT",1978,2,58.6,72.5,44.6,2
"20113","MT",1978,3,63.5,77,50,2.6
"20114","MT",1978,4,62,76.9,47.1,1.3
"20115","MT",1978,5,55.4,68.4,42.4,3.2
"20116","MT",1978,6,44.6,58.7,30.5,0.3
"20117","MT",1978,7,22,31.7,12.2,1.7
"20118","MT",1978,8,12.6,21.7,3.4,1.5
"20119","MT",1978,9,10,18.6,1.4,1.6
"20120","MT",1979,1,48.5,61,36,1.5
"20121","MT",1979,10,14.4,25.2,3.5,1.6
"20122","MT",1979,11,29.9,40.6,19.3,1
"20123","MT",1979,12,37.6,48.4,26.8,1.8
"20124","MT",1979,2,59.3,74.2,44.3,1.4
"20125","MT",1979,3,65.9,81,50.7,1.2
"20126","MT",1979,4,64.6,79.1,50.1,1.1
"20127","MT",1979,5,58.5,75.1,41.8,0.3
"20128","MT",1979,6,46,59.1,32.9,1
"20129","MT",1979,7,26.9,37,16.8,0.5
"20130","MT",1979,8,28.3,39.9,16.8,1
"20131","MT",1979,9,2.1,12.1,-8,1
"20132","MT",1980,1,53.6,67.1,40,3.3
"20133","MT",1980,10,23.7,33.7,13.8,1
"20134","MT",1980,11,28.3,39,17.6,1.4
"20135","MT",1980,12,46.1,60.2,32,1
"20136","MT",1980,2,58.9,72.1,45.6,2.9
"20137","MT",1980,3,66.1,81.7,50.6,0.9
"20138","MT",1980,4,59.8,73.5,46,1.7
"20139","MT",1980,5,54.7,68.1,41.4,1.5
"20140","MT",1980,6,44.1,56.6,31.6,1.6
"20141","MT",1980,7,33.7,43.8,23.6,0.9
"20142","MT",1980,8,23.8,33.2,14.5,1.5
"20143","MT",1980,9,12.6,23.1,2.2,1.5
"20144","MT",1981,1,50.7,61.3,40,4.7
"20145","MT",1981,10,26.5,36.9,16.1,1
"20146","MT",1981,11,36,49.4,22.5,1.3
"20147","MT",1981,12,43.7,56.6,30.9,1
"20148","MT",1981,2,55.7,67.8,43.7,2.9
"20149","MT",1981,3,65.2,80.5,50,1.5
"20150","MT",1981,4,66.6,83,50.1,0.8
"20151","MT",1981,5,56.5,72.3,40.6,0.7
"20152","MT",1981,6,41.7,53.1,30.2,1.5
"20153","MT",1981,7,34.8,45.7,24,1
"20154","MT",1981,8,21.8,30.4,13.2,1.3
"20155","MT",1981,9,28.3,38.2,18.5,0.5
"20156","MT",1982,1,47.3,58.9,35.7,3.4
"20157","MT",1982,10,18.3,29.2,7.4,1.4
"20158","MT",1982,11,28.5,38.1,19,2
"20159","MT",1982,12,36.6,48.5,24.6,1.5
"20160","MT",1982,2,57.3,69.8,44.8,2.9
"20161","MT",1982,3,63.9,77.6,50.1,1.7
"20162","MT",1982,4,65.1,80.6,49.6,1.1
"20163","MT",1982,5,52.7,65.9,39.4,2.1
"20164","MT",1982,6,42.3,53.6,31.1,1.4
"20165","MT",1982,7,25.9,35.6,16.2,0.8
"20166","MT",1982,8,22,30.6,13.4,1.6
"20167","MT",1982,9,8,19,-3,2
"20168","MT",1983,1,48.2,61,35.4,2
"20169","MT",1983,10,30.9,40.8,21.1,0.7
"20170","MT",1983,11,33.6,43.2,23.9,1.4
"20171","MT",1983,12,38.7,51.6,25.9,0.8
"20172","MT",1983,2,57.6,71,44.3,2.1
"20173","MT",1983,3,65.2,79.7,50.6,2.6
"20174","MT",1983,4,69.7,85.1,54.3,1
"20175","MT",1983,5,52.1,65.1,39,1.6
"20176","MT",1983,6,44.7,57,32.4,1
"20177","MT",1983,7,31.4,39.9,22.9,1.5
"20178","MT",1983,8,3.4,12.9,-6.1,1.2
"20179","MT",1983,9,26.6,35.6,17.5,0.9
"20180","MT",1984,1,49.5,62.6,36.4,1.6
"20181","MT",1984,10,31.3,41.6,21,0.6
"20182","MT",1984,11,31.9,41.3,22.6,1.3
"20183","MT",1984,12,40.7,52.8,28.6,1.7
"20184","MT",1984,2,57.8,70.6,44.8,2.7
"20185","MT",1984,3,67.2,82.9,51.4,0.6
"20186","MT",1984,4,67.8,83.4,52.2,1.2
"20187","MT",1984,5,49.1,61.6,36.5,1.6
"20188","MT",1984,6,38.5,50.1,26.9,1.2
"20189","MT",1984,7,30,39.5,20.5,1.1
"20190","MT",1984,8,12.7,22.9,2.4,1.4
"20191","MT",1984,9,23.6,32.3,14.8,0.9
"20192","MT",1985,1,54.4,68.8,40,2
"20193","MT",1985,10,17.1,27.8,6.4,0.7
"20194","MT",1985,11,30.2,41.7,18.6,1.3
"20195","MT",1985,12,44.6,57.6,31.5,1.1
"20196","MT",1985,2,57.9,72.4,43.3,1.1
"20197","MT",1985,3,69.2,85.7,52.8,0.8
"20198","MT",1985,4,60.9,74.6,47.3,2.7
"20199","MT",1985,5,47.8,57.9,37.8,3
"20200","MT",1985,6,41.1,52.8,29.4,1.4
"20201","MT",1985,7,13,21.4,4.6,1.6
"20202","MT",1985,8,18.7,28.1,9.4,0.5
"20203","MT",1985,9,14.8,24.8,4.8,0.4
"20204","MT",1986,1,50.8,63.6,37.9,2.9
"20205","MT",1986,10,19.3,28.8,9.8,2
"20206","MT",1986,11,40,51.3,28.6,0.9
"20207","MT",1986,12,40.6,52.4,28.8,1.6
"20208","MT",1986,2,63.5,77.7,49.3,2.3
"20209","MT",1986,3,62.6,76.9,48.4,1.7
"20210","MT",1986,4,65.2,81,49.3,1.2
"20211","MT",1986,5,48.9,57.9,39.9,3.9
"20212","MT",1986,6,44.8,57.5,32.1,0.8
"20213","MT",1986,7,26.7,36.2,17.2,1.7
"20214","MT",1986,8,25.1,34.8,15.5,0.4
"20215","MT",1986,9,28.3,37,19.6,1.1
"20216","MT",1987,1,54.7,67.7,41.6,3.1
"20217","MT",1987,10,29.8,40.4,19.2,0.6
"20218","MT",1987,11,33,42.8,23.2,1.7
"20219","MT",1987,12,48,63,32.9,0.6
"20220","MT",1987,2,61.9,76.5,47.2,1.5
"20221","MT",1987,3,64.4,77.7,51.2,3.4
"20222","MT",1987,4,60,73.9,46,1.7
"20223","MT",1987,5,56.5,72.6,40.4,0.7
"20224","MT",1987,6,43.9,59.4,28.3,0.1
"20225","MT",1987,7,34.7,45.9,23.4,0.4
"20226","MT",1987,8,24.1,33.9,14.3,1
"20227","MT",1987,9,24.2,34.1,14.3,0.5
"20228","MT",2018,9,21.7,31.2,12.1,1.1
"20229","MT",1998,10,30.4,40.4,20.4,0.6
"20230","MT",1998,11,28.9,39.5,18.4,1.4
"20231","MT",1998,12,43.7,56.2,31.1,1.3
"20232","MT",1998,2,54.4,65.6,43.2,4
"20233","MT",1998,3,69.1,83.7,54.5,1.8
"20234","MT",1998,4,68.1,83.8,52.4,1.2
"20235","MT",1998,5,61.4,76.3,46.5,1
"20236","MT",1998,6,44.2,56.3,32,1.6
"20237","MT",1998,7,33.1,40.4,25.8,1.9
"20238","MT",1998,8,21.2,30.4,12.1,1.6
"20239","MT",1998,9,19,28.9,9.1,1.4
"20240","MT",1999,1,48.7,60.9,36.6,2.3
"20241","MT",1999,10,30.2,39.2,21.2,1.3
"20242","MT",1999,11,35.2,47.8,22.8,0.7
"20243","MT",1999,12,40,52,28.1,1.7
"20244","MT",1999,2,57,69.4,44.6,2.5
"20245","MT",1999,3,64,79.9,48.1,1
"20246","MT",1999,4,66.4,81.3,51.6,1.8
"20247","MT",1999,5,51.6,65.9,37.4,1
"20248","MT",1999,6,44.7,58.2,31.2,0.9
"20249","MT",1999,7,39,50.7,27.2,1.1
"20250","MT",1999,8,29.5,38.8,20.2,1
"20251","MT",1999,9,22.2,31.5,12.8,1.4
"20252","MT",2000,1,51.5,64.2,38.8,2
"20253","MT",2000,10,26.9,37.7,16.2,1.2
"20254","MT",2000,11,35.5,47.2,23.8,1
"20255","MT",2000,12,43.2,56.7,29.7,1.2
"20256","MT",2000,2,58,71.6,44.4,2
"20257","MT",2000,3,68.4,84.1,52.7,1.6
"20258","MT",2000,4,66.8,83.3,50.3,0.3
"20259","MT",2000,5,54.4,68.3,40.5,1.5
"20260","MT",2000,6,43.5,55.7,31.2,1.3
"20261","MT",2000,7,22.1,31.7,12.5,0.9
"20262","MT",2000,8,15.8,25.8,5.9,0.8
"20263","MT",2000,9,22.1,32.1,12.1,1.1
"20264","MT",2001,1,53.3,68.1,38.5,0.8
"20265","MT",2001,10,16.5,27.3,5.8,0.8
"20266","MT",2001,11,33.8,45,22.6,0.8
"20267","MT",2001,12,41.1,52.9,29.3,1.7
"20268","MT",2001,2,58.4,71,45.8,3.8
"20269","MT",2001,3,67.1,81.5,52.7,2.4
"20270","MT",2001,4,68.9,86,51.8,0.2
"20271","MT",2001,5,58.7,73.8,43.6,0.9
"20272","MT",2001,6,42.7,54.8,30.7,1.2
"20273","MT",2001,7,36.3,47.7,24.9,0.7
"20274","MT",2001,8,22.4,32.3,12.6,0.7
"20275","MT",2001,9,24.6,34.2,15,0.5
"20276","MT",2002,1,47.5,60.4,34.5,2
"20277","MT",2002,10,26.4,37.9,14.9,0.9
"20278","MT",2002,11,19.8,30.5,9,1.4
"20279","MT",2002,12,37.6,50.1,25.1,1.2
"20280","MT",2002,2,59.5,72.6,46.4,3.3
"20281","MT",2002,3,69.6,85,54.2,1.4
"20282","MT",2002,4,61.3,75.5,47,1.8
"20283","MT",2002,5,55.7,69.5,41.8,1.3
"20284","MT",2002,6,36.6,48.6,24.6,0.6
"20285","MT",2002,7,33.8,44.4,23.3,0.6
"20286","MT",2002,8,26.8,36.5,17.2,0.7
"20287","MT",2002,9,22.7,31.9,13.5,1.2
"20288","MT",2003,1,50.1,62.2,38,2.3
"20289","MT",2003,10,21.4,31.3,11.4,1.2
"20290","MT",2003,11,29.8,40.8,18.9,2.1
"20291","MT",2003,12,44.1,56.1,32.1,2
"20292","MT",2003,2,58.4,71.4,45.4,2.1
"20293","MT",2003,3,70.3,87,53.6,0.5
"20294","MT",2003,4,70,86,54.1,0.7
"20295","MT",2003,5,54.6,68.8,40.4,1
"20296","MT",2003,6,47.5,61,34,1.3
"20297","MT",2003,7,24,34.1,13.8,1.1
"20298","MT",2003,8,25.1,34.2,15.9,1.4
"20299","MT",2003,9,24.7,34.9,14.5,1.3
"20300","MT",2004,1,48.1,60,36.1,3
"20301","MT",2004,10,24.1,34,14.2,0.7
"20302","MT",2004,11,37.5,49.4,25.6,0.6
"20303","MT",2004,12,44.3,58,30.5,1.1
"20304","MT",2004,2,56.1,68.9,43.4,2
"20305","MT",2004,3,66.1,80.8,51.4,1.4
"20306","MT",2004,4,62.4,76.4,48.2,1.9
"20307","MT",2004,5,54.1,67.3,41,1.5
"20308","MT",2004,6,43.1,55,31.2,1.4
"20309","MT",2004,7,33.6,44.7,22.4,0.6
"20310","MT",2004,8,27.4,37.2,17.6,0.9
"20311","MT",2004,9,17,26.1,8,1.3
"20312","MT",2005,1,49,61.3,36.8,2.7
"20313","MT",2005,10,28.9,41.6,16.1,0.2
"20314","MT",2005,11,34.6,46,23.1,1.4
"20315","MT",2005,12,42.7,55.4,30,1.9
"20316","MT",2005,2,57.7,69.3,46.1,4.8
"20317","MT",2005,3,67.6,83.6,51.5,0.6
"20318","MT",2005,4,63.9,79.8,48,1.2
"20319","MT",2005,5,55.4,69.8,41,1.3
"20320","MT",1995,5,54.5,68.7,40.2,1.2
"20321","MT",1995,6,41.3,52,30.5,1.8
"20322","MT",1995,7,31.4,41.3,21.5,2
"20323","MT",1995,8,20.8,30.6,11.1,1.2
"20324","MT",1995,9,22.4,32,12.8,0.9
"20325","MT",1996,1,45.9,55.8,36,3.6
"20326","MT",1996,10,23.1,34,12.2,1.3
"20327","MT",1996,11,24.2,34.6,13.7,1.4
"20328","MT",1996,12,41.7,53.3,30.2,1.6
"20329","MT",1996,2,60.5,74.5,46.4,1.7
"20330","MT",1996,3,66,81.8,50.2,0.7
"20331","MT",1996,4,66.5,83.4,49.6,0.5
"20332","MT",1996,5,52.6,65.5,39.8,1.8
"20333","MT",1996,6,41.8,54.5,29.1,1.1
"20334","MT",1996,7,22.3,30.7,13.9,1.9
"20335","MT",1996,8,15,23.7,6.3,2.7
"20336","MT",1996,9,11.3,21.6,1.1,1.8
"20337","MT",1997,1,51,64.5,37.5,2.4
"20338","MT",1997,10,26,35.1,16.9,0.8
"20339","MT",1997,11,31.8,43.1,20.4,1.5
"20340","MT",1997,12,36,47.4,24.6,1.7
"20341","MT",1997,2,60.6,73,48.1,3
"20342","MT",1997,3,64.4,77.9,50.8,2.7
"20343","MT",1997,4,64.8,79.6,49.9,1.6
"20344","MT",1997,5,58.1,73.1,43,1
"20345","MT",1997,6,43.4,54.9,31.9,1.5
"20346","MT",1997,7,30.4,40.7,20.2,0.7
"20347","MT",1997,8,25.8,35.2,16.4,0.5
"20348","MT",1997,9,14.3,24.3,4.3,1.6
"20349","MT",1998,1,52.7,67,38.4,2.1
"20350","MT",2008,11,31.2,42.9,19.5,0.9
"20351","MT",2008,12,37.6,51.1,24.1,0.9
"20352","MT",2008,2,56.7,69.9,43.6,2.8
"20353","MT",2008,3,66.5,82.3,50.7,1
"20354","MT",2008,4,65.6,81.7,49.5,1.1
"20355","MT",2008,5,53.6,68.1,39.2,1.6
"20356","MT",2008,6,43.7,56.2,31.1,1.3
"20357","MT",2008,7,35.8,45.6,26,1.3
"20358","MT",2008,8,14,23.8,4.1,1.8
"20359","MT",2008,9,18.1,29.5,6.6,1.2
"20360","MT",2009,1,50.5,64.6,36.5,1.3
"20361","MT",2009,10,25.1,35.1,15.2,0.7
"20362","MT",2009,11,28.3,39.8,16.7,1.7
"20363","MT",2009,12,39.8,51.5,28.2,1.9
"20364","MT",2009,2,56.6,70,43.3,2.1
"20365","MT",2009,3,64.6,79.4,49.8,2
"20366","MT",2009,4,63.4,77.7,49.1,1.8
"20367","MT",2009,5,60.7,77.3,44,0.5
"20368","MT",2009,6,36.4,45.5,27.2,2.1
"20369","MT",2009,7,35.2,46.8,23.6,0.5
"20370","MT",2009,8,12,21.4,2.6,1
"20371","MT",2009,9,21.1,31.1,11.1,1.3
"20372","MT",2010,1,46.3,57.7,34.8,3.9
"20373","MT",2010,10,21.1,31,11.2,0.5
"20374","MT",2010,11,36.2,48.1,24.3,0.7
"20375","MT",2010,12,41.6,53.9,29.2,2
"20376","MT",2010,2,57.5,69.6,45.5,3.6
"20377","MT",2010,3,64.3,78.9,49.7,1.5
"20378","MT",2010,4,63.8,78.4,49.2,2.1
"20379","MT",2010,5,54.1,67,41.2,1.8
"20380","MT",2010,6,47.6,61.1,34.2,0.9
"20381","MT",2010,7,26.6,36.4,16.8,1.9
"20382","MT",2010,8,19,27.8,10.2,1.6
"20383","MT",2010,9,20.6,29.5,11.8,1
"20384","MT",2011,1,47.1,57.2,37,5.7
"20385","MT",2011,10,16.4,26.8,6,1.3
"20386","MT",2011,11,28.6,38.2,19,1.6
"20387","MT",2011,12,37.7,48.3,27,2.5
"20388","MT",2011,2,56.3,68.3,44.3,3.3
"20389","MT",2011,3,66.6,81.8,51.4,1.3
"20390","MT",2011,4,66.8,82.8,50.7,0.7
"20391","MT",2011,5,58.3,74.8,41.9,0.4
"20392","MT",2011,6,45.9,57.3,34.4,1.9
"20393","MT",2011,7,30,40.7,19.2,1
"20394","MT",2011,8,26.2,36,16.4,0.8
"20395","MT",2011,9,19.1,28,10.3,1.7
"20396","MT",2012,1,49.5,62.5,36.4,2.4
"20397","MT",2012,10,24.9,35.4,14.5,0.9
"20398","MT",2012,11,39.4,52,26.8,1.6
"20399","MT",2012,12,44.8,57.8,31.8,1.9
"20400","MT",2012,2,60.2,74,46.4,2
"20401","MT",2012,3,70.7,86.5,54.9,1.2
"20402","MT",2012,4,66.7,83.6,49.7,0.5
"20403","MT",2012,5,58.2,74.8,41.7,0.1
"20404","MT",2012,6,41,51.9,30.1,1.8
"20405","MT",2012,7,32.4,42,22.8,1.4
"20406","MT",2012,8,21.5,30.3,12.8,1.3
"20407","MT",2012,9,25.1,35.3,14.9,1.2
"20408","MT",2013,1,51.9,64.7,39.1,4.1
"20409","MT",2013,10,27.4,36.8,18.1,0.5
"20410","MT",2013,11,30.5,42.5,18.5,0.9
"20411","MT",2013,12,36.9,48.7,25.2,1.5
"20412","MT",2013,2,59,72,46,3.1
"20413","MT",2013,3,67.5,82.6,52.4,1.1
"20414","MT",2013,4,67.3,82.4,52.2,1.4
"20415","MT",2013,5,58.8,71.5,46.1,2.5
"20416","MT",2013,6,40.8,52.3,29.3,1.1
"20417","MT",2013,7,30.4,41,19.8,0.9
"20418","MT",2013,8,16.4,26.2,6.6,1.4
"20419","MT",2013,9,21.7,31.2,12.2,1
"20420","MT",2014,1,51.1,64.1,38,1.9
"20421","MT",2014,10,14.7,25.1,4.3,1.7
"20422","MT",2014,11,29.4,39.8,19.1,2.2
"20423","MT",2014,12,41,53.6,28.5,1.4
"20424","MT",2014,2,56.5,68.7,44.3,3.2
"20425","MT",2014,3,67.6,83.1,52.1,0.6
"20426","MT",2014,4,64.8,78,51.6,3.7
"20427","MT",2014,5,55.1,68.7,41.5,1.2
"20428","MT",2014,6,47.9,60.7,35.2,0.9
"20429","MT",2014,7,25.3,35.6,15,1.9
"20430","MT",2014,8,25,33.6,16.5,1.3
"20431","MT",2014,9,24.5,34.5,14.5,1.2
"20432","MT",2015,1,49.6,61.7,37.4,2.4
"20433","MT",2015,10,26.9,37.6,16.2,0.9
"20434","MT",2015,11,39.5,52.6,26.4,0.9
"20435","MT",2015,12,42.8,56.5,29.2,1
"20436","MT",2015,2,63.8,78.2,49.5,1.7
"20437","MT",2015,3,66.2,80.8,51.7,1.8
"20438","MT",2015,4,65.9,81.7,50.1,1
"20439","MT",2015,5,57.3,71.9,42.6,1.2
"20440","MT",2015,6,48,60.4,35.6,1.4
"20441","MT",2005,6,45.1,57,33.3,1.9
"20442","MT",2005,7,33.2,42.6,23.9,1.6
"20443","MT",2005,8,20.5,28.9,12,1.2
"20444","MT",2005,9,18.1,28.4,7.7,0.7
"20445","MT",2006,1,52.9,66.6,39.1,1.8
"20446","MT",2006,10,23.4,34.3,12.5,0.9
"20447","MT",2006,11,30.6,41.2,20,1.2
"20448","MT",2006,12,44.9,57.5,32.3,2.6
"20449","MT",2006,2,61.6,75.2,47.9,2.3
"20450","MT",2006,3,71.2,87.8,54.6,0.5
"20451","MT",2006,4,65.5,81.7,49.2,0.8
"20452","MT",2006,5,54.8,68.5,41,1.9
"20453","MT",2006,6,40.4,51.8,29,1.9
"20454","MT",2006,7,30.3,40.6,20,1.7
"20455","MT",2006,8,25.5,35.6,15.3,0.8
"20456","MT",2006,9,31.4,39.7,23,1.4
"20457","MT",2007,1,52.1,65,39.1,4
"20458","MT",2007,10,22,31,12.9,1.4
"20459","MT",2007,11,38.9,51.2,26.7,1.1
"20460","MT",2007,12,40.9,52.6,29.2,1.7
"20461","MT",2007,2,60.7,74.3,47,2
"20462","MT",2007,3,73.3,89.3,57.2,0.8
"20463","MT",2007,4,65.8,81.5,50,0.7
"20464","MT",2007,5,55,69.6,40.5,1.4
"20465","MT",2007,6,44.6,56.5,32.7,1.6
"20466","MT",2007,7,31.6,42.3,20.9,0.9
"20467","MT",2007,8,21.6,31.3,12,1.1
"20468","MT",2007,9,21.8,32.3,11.3,0.7
"20469","MT",2008,1,49.6,61.2,37.9,4
"20470","MT",2008,10,24.2,35.1,13.4,1
"20471","MT",2018,12,37.8,50.1,25.6,2.1
"20472","MT",2016,1,51,63.6,38.4,3.1
"20473","MT",2016,10,33.6,44,23.2,0.8
"20474","MT",2016,11,37.4,49.4,25.3,1.3
"20475","MT",2016,12,45,57.5,32.6,2.3
"20476","MT",2016,2,62.4,77.5,47.2,1.5
"20477","MT",2016,3,65.9,80.6,51.1,2
"20478","MT",2016,4,64.4,79.8,48.9,1
"20479","MT",2016,5,54.8,67,42.6,2.4
"20480","MT",2016,6,44.3,54.6,34,3.3
"20481","MT",2016,7,39.1,50,28.2,0.6
"20482","MT",2015,7,30,40,19.9,1.3
"20483","MT",2015,8,23.6,32.3,15,1.6
"20484","MT",2015,9,24.7,34.6,14.8,1.1
"20485","MT",2017,10,25.4,34.9,16,1.7
"20486","MT",2017,11,35.9,46.4,25.3,1.8
"20487","MT",2017,12,42.2,53.6,30.7,2.1
"20488","MT",2017,2,60.6,74.9,46.4,1.7
"20489","MT",2017,3,71.6,88.4,54.8,0.4
"20490","MT",2017,4,65.5,81.6,49.5,0.3
"20491","MT",2017,5,55.2,68.5,41.9,2.1
"20492","MT",2017,6,42.6,55.2,30,1.1
"20493","MT",2017,7,30.6,40.1,21.2,1.7
"20494","MT",2017,8,21,29.8,12.2,1.8
"20495","MT",2016,8,14.2,23,5.4,1.4
"20496","MT",2016,9,23.4,32.1,14.8,0.9
"20497","MT",2017,1,52.3,66.4,38.1,1.5
"20498","MT",2018,11,28.5,38.8,18.2,1.3
"20499","MT",2017,9,15.2,24.6,5.8,0.9
"20500","MT",2018,10,11.4,22.7,0.2,2
"20501","NE",1950,3,31.2,43.5,19,1
"20502","NE",1950,2,28.2,41.3,15.1,0.8
"20503","NE",1950,7,69.1,81.3,56.8,5.2
"20504","NE",1950,4,42.8,56.2,29.3,1.2
"20505","NE",1950,5,55.4,68.1,42.5,4
"20506","NE",1950,6,68,82.6,53.5,2.1
"20507","NE",1951,10,48.6,61,36.2,1.6
"20508","NE",1950,8,68.2,81.5,54.8,3.6
"20509","NE",1950,9,60.8,73.3,48.4,2.2
"20510","NE",1951,1,21.9,34.4,9.4,0.3
"20511","NE",1950,12,27.2,39.9,14.4,0.1
"20512","NE",1953,6,72.4,86.1,58.7,3.2
"20513","NE",1953,7,74.9,88.3,61.5,2.6
"20514","NE",1953,8,73.1,86.4,59.7,1.9
"20515","NE",1953,9,65,82.2,47.8,0.6
"20516","NE",1954,1,22.1,34.2,9.9,0
"20517","NE",1954,10,49.1,60.8,37.4,1.6
"20518","NE",1954,11,41.3,55.2,27.3,0.1
"20519","NE",1954,12,30,41.6,18.5,0.2
"20520","NE",1954,2,40.2,54.2,26.1,0.6
"20521","NE",1954,3,31.5,42.9,20.1,1.2
"20522","NE",1951,11,32.8,45.8,19.8,0.3
"20523","NE",1951,12,19.8,30.1,9.5,0.8
"20524","NE",1951,2,29.7,43.5,15.9,1
"20525","NE",1951,3,29.5,42,17,1.2
"20526","NE",1951,4,43.4,55.7,31.1,2.8
"20527","NE",1951,5,58.3,70.7,45.9,4.6
"20528","NE",1951,6,61.9,73.2,50.6,5.7
"20529","NE",1951,7,71.2,83.1,59.3,4
"20530","NE",1951,8,70.7,82.9,58.5,4.2
"20531","NE",1951,9,58.2,70.7,45.6,3.3
"20532","NE",1952,1,23.9,35.6,12.2,0.4
"20533","NE",1952,10,48.8,66.5,31,0.1
"20534","NE",1952,11,33,45.7,20.3,1
"20535","NE",1952,12,24.5,34.6,14.4,0.6
"20536","NE",1952,2,31,42,20,0.9
"20537","NE",1952,3,29.7,39.3,20.1,1.4
"20538","NE",1952,4,47.7,61,34.4,2
"20539","NE",1952,5,58.1,70.6,45.6,3.8
"20540","NE",1952,6,74.2,88.8,59.7,2.3
"20541","NE",1952,7,74.6,89.8,59.4,2.4
"20542","NE",1952,8,72.5,85.4,59.6,3.2
"20543","NE",1952,9,65.5,82.1,49,0.6
"20544","NE",1953,1,28.6,39.4,17.8,0.4
"20545","NE",1953,10,55.2,71.2,39.3,1
"20546","NE",1953,11,38.7,50.2,27.1,1.4
"20547","NE",1953,12,27.4,37.8,16.9,1
"20548","NE",1953,2,29.1,40.1,18.2,1.1
"20549","NE",1953,3,39.4,52,26.8,1
"20550","NE",1953,4,42.6,55.1,30.1,3.1
"20551","NE",1953,5,56.4,69.2,43.6,2.4
"20552","NE",1957,1,15.4,26.8,4.1,0.2
"20553","NE",1957,10,48.9,58.2,39.6,2.1
"20554","NE",1957,11,34.7,44.4,25.1,0.9
"20555","NE",1957,12,33.2,46.3,20.2,0.3
"20556","NE",1957,2,31.1,44.7,17.4,0.1
"20557","NE",1957,3,34.7,45.9,23.5,1.7
"20558","NE",1957,4,44.5,54.9,34,2.7
"20559","NE",1957,5,56.1,66.6,45.6,5.5
"20560","NE",1957,6,66.6,79.2,53.9,4.7
"20561","NE",1957,7,77,90.5,63.6,3.1
"20562","NE",1954,4,51.3,66.6,36.1,1.6
"20563","NE",1954,5,54.9,67.2,42.7,3
"20564","NE",1954,6,70.3,83.8,56.9,3.8
"20565","NE",1954,7,79.1,94.2,64,1.3
"20566","NE",1954,8,73,85.4,60.5,4.1
"20567","NE",1954,9,66.4,80.9,51.9,1.4
"20568","NE",1955,1,22,32.8,11.3,0.6
"20569","NE",1955,10,52.3,67.6,37,0.3
"20570","NE",1955,11,29.4,41.9,16.8,0.3
"20571","NE",1955,12,20.7,30.4,11,0.6
"20572","NE",1955,2,20,31.3,8.7,0.9
"20573","NE",1955,3,33.5,46.9,20.1,0.4
"20574","NE",1955,4,53.4,68.4,38.3,1.1
"20575","NE",1955,5,62.1,76.5,47.6,3.2
"20576","NE",1955,6,64.7,76,53.4,4.1
"20577","NE",1955,7,78.9,93.1,64.6,1.4
"20578","NE",1955,8,76.8,91.4,62.2,1.3
"20579","NE",1955,9,65.1,79.4,50.8,2.5
"20580","NE",1956,1,21.4,31.4,11.3,0.5
"20581","NE",1956,10,56.1,72.2,40,1
